secondarykey,Index Value
2001.0,1683385
2001.0,1683428
2001.0,1683474
2001.0,1683535
2001.0,1683584
2001.0,1683630
2001.0,1683678
2001.0,1683241
2001.0,1683724
2001.0,1683838
2001.0,1683894
2001.0,1683942
2001.0,1683985
2001.0,1684027
2001.0,1684075
2001.0,1684119
2001.0,1684166
2001.0,1684209
2001.0,1683772
2001.0,1683197
2001.0,1683149
2001.0,1683105
2001.0,1682086
2001.0,1682139
2001.0,1682194
2001.0,1682243
2001.0,1682285
2001.0,1682333
2001.0,1682375
2001.0,1682418
2001.0,1682460
2001.0,1682520
2001.0,1682562
2001.0,1682611
2001.0,1682659
2001.0,1682707
2001.0,1682759
2001.0,1682801
2001.0,1682844
2001.0,1682896
2001.0,1682942
2001.0,1682985
2001.0,1683049
2001.0,1679664
2001.0,1679618
2001.0,1679576
2001.0,1679532
2001.0,1676020
2001.0,1676071
2001.0,1676127
2001.0,1676187
2001.0,1676238
2001.0,1676290
2001.0,1676339
2001.0,1676384
2001.0,1676428
2001.0,1675955
2001.0,1676477
2001.0,1676564
2001.0,1676613
2001.0,1676661
2001.0,1676725
2001.0,1676774
2001.0,1676823
2001.0,1676871
2001.0,1676927
2001.0,1676983
2001.0,1676521
2001.0,1675912
2001.0,1675870
2001.0,1675823
2001.0,1674815
2001.0,1674863
2001.0,1674912
2001.0,1674957
2001.0,1675003
2001.0,1675052
2001.0,1675095
2001.0,1675144
2001.0,1675193
2001.0,1675242
2001.0,1675288
2001.0,1675334
2001.0,1675379
2001.0,1675427
2001.0,1675469
2001.0,1675527
2001.0,1675589
2001.0,1675634
2001.0,1675680
2001.0,1675731
2001.0,1675778
2001.0,1677032
2001.0,1674717
2001.0,1677088
2001.0,1677180
2001.0,1678514
2001.0,1678563
2001.0,1678624
2001.0,1678679
2001.0,1678722
2001.0,1678771
2001.0,1678836
2001.0,1678895
2001.0,1678943
2001.0,1678461
2001.0,1679001
2001.0,1679107
2001.0,1679160
2001.0,1679204
2001.0,1679246
2001.0,1679306
2001.0,1679348
2001.0,1679392
2001.0,1679441
2001.0,1679490
2001.0,1679045
2001.0,1678412
2001.0,1678364
2001.0,1678299
2001.0,1677229
2001.0,1677277
2001.0,1677319
2001.0,1677367
2001.0,1677409
2001.0,1677465
2001.0,1677508
2001.0,1677550
2001.0,1677592
2001.0,1677641
2001.0,1677690
2001.0,1677732
2001.0,1677798
2001.0,1677857
2001.0,1677903
2001.0,1677966
2001.0,1678025
2001.0,1678089
2001.0,1678150
2001.0,1678207
2001.0,1678256
2001.0,1677137
2001.0,1703719
2001.0,1703768
2001.0,1703811
2001.0,1729383
2001.0,1729427
2001.0,1729486
2001.0,1729538
2001.0,1729590
2001.0,1729634
2001.0,1729679
2001.0,1729724
2001.0,1729773
2001.0,1729335
2001.0,1729817
2001.0,1729935
2001.0,1729998
2001.0,1730044
2001.0,1730087
2001.0,1730135
2001.0,1730194
2001.0,1730239
2001.0,1730301
2001.0,1730353
2001.0,1729876
2001.0,1730414
2001.0,1729292
2001.0,1729199
2001.0,1728179
2001.0,1728231
2001.0,1728289
2001.0,1728331
2001.0,1728376
2001.0,1728418
2001.0,1728464
2001.0,1728513
2001.0,1728578
2001.0,1729248
2001.0,1728636
2001.0,1728733
2001.0,1728777
2001.0,1728826
2001.0,1728874
2001.0,1728919
2001.0,1728968
2001.0,1729028
2001.0,1729088
