PrimaryKey,Index Value
1188.0,441997
1189.0,442052
1190.0,442111
1191.0,442169
1192.0,442227
1193.0,442286
1194.0,442342
1195.0,442402
1196.0,442460
1197.0,442515
1198.0,442575
1199.0,442634
1200.0,442694
1201.0,442750
1202.0,442808
1203.0,442863
1204.0,442922
1205.0,442982
1206.0,443040
1207.0,443096
1208.0,443156
1209.0,443216
1210.0,443275
1211.0,443333
1212.0,443388
1213.0,443446
1214.0,443505
1215.0,443560
1216.0,443615
1217.0,443670
1218.0,443729
1219.0,443784
1220.0,443840
1221.0,443895
1222.0,443950
1223.0,444005
1224.0,444061
1225.0,444117
1226.0,444172
1227.0,444232
1228.0,444292
1229.0,444347
1230.0,444402
1231.0,444461
1232.0,444516
1233.0,444576
1234.0,444632
1235.0,444688
1236.0,444744
1237.0,444800
1238.0,444855
1239.0,444910
1240.0,444966
1241.0,445025
1242.0,445085
1243.0,445144
1244.0,445204
1245.0,445264
1246.0,445319
1247.0,445375
1248.0,445433
1249.0,445491
1250.0,445551
1251.0,445607
1252.0,445667
1253.0,445723
1254.0,445781
1255.0,445840
1256.0,445900
1257.0,445958
1258.0,446014
1259.0,446074
1260.0,446134
1261.0,446190
1262.0,446248
1263.0,446303
1264.0,446362
1265.0,446420
1266.0,446480
1267.0,446540
1268.0,446598
1269.0,446658
1270.0,446716
1271.0,446771
1272.0,446830
1273.0,446888
1274.0,446946
1275.0,447002
1276.0,447062
1277.0,447121
1278.0,447181
1279.0,447237
1280.0,447296
1281.0,447354
1282.0,447409
1283.0,447464
1284.0,447520
1285.0,447579
1286.0,447634
1287.0,447691
1288.0,447747
1289.0,447802
1290.0,447857
1291.0,447915
1292.0,447975
1293.0,448031
1294.0,448091
1295.0,448147
1296.0,448206
1297.0,448261
1298.0,448321
1299.0,448379
1300.0,448438
1301.0,448493
1302.0,448553
1303.0,448614
1304.0,448671
1305.0,448732
1306.0,448788
1307.0,448847
1308.0,448904
1309.0,448961
1310.0,449833
1311.0,459723
1312.0,477173
1313.0,496644
1314.0,515067
1315.0,533359
1316.0,553176
1317.0,577527
1318.0,601964
1319.0,636031
1320.0,668058
1321.0,702943
1322.0,732562
1323.0,764001
1324.0,789026
1325.0,820501
1326.0,850050
1327.0,887309
1328.0,921137
